district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
EAST,1875.1363558830728,1851.0648899732328,1875.8930656093003,1873.315445920552,1882.9937199233493,1914.0364553385436,1927.29348234652,1866.1478500787962,1872.8236341528307,1879.0769543498598,1876.777923424951,1875.7554595576946,1873.9479758945693,1850.977614894636,1875.763886238489,1867.1480985677013,1902.4045237072162,1918.2352385092727,1931.4542166721208,1866.1920610427758,1864.9688198190504,1877.6381774212537,1874.3787153948322,1873.5992397827124,1872.92848588306,1849.8075207719291,1857.8423986156067,1874.0881243447254,1911.2098235086248,1924.8437496421861,1931.6525845267124,1880.351438630242,1874.7732904810407,1876.77856447141,1872.2344123977805,1875.7407862985829,1875.1418676104574,1849.839701739171,1870.4711513802017,1871.4763443378433,1910.5814435656714,1927.6039530292483,1929.8226003092855,1874.0682381911565,1851.7268046400511,1872.8423632903675,1873.058901011441,1875.0831067144827,1875.2253938245904,1850.8752431351559,1874.4867151823,1870.8345795272273,1910.681808057206,1927.1054471055234,1927.6038975494494,1867.194459079197,1869.5231517436491,1874.3936208089433,1873.8678957884488,1872.784961629502,1874.2027945464752,1850.5650670430757,1864.2852814455077,1869.262670059199,1890.2645053718652,1910.732999466092,1929.4594322082035,1866.6552512875335,1875.4116409974054,1871.45349863136,1874.8269968243728,1873.2442384754527,1872.8345773206274,1847.001357275783,1876.5427503798576,1873.3008071915735,1927.5967049595336,1904.0414859417363,1933.272066789456,1865.8249661743298,1870.821913247743,1877.344126582716,1875.074780628208,1875.0354671939117,1874.0450653830983,1854.961151078203,1872.5356324446752,1876.9109806731906,1906.5420525359261,1920.7759101554766,1927.784509983587,1866.1530089253147,1857.896260260887,1873.1595164459293,1875.3476066928747,1872.7212050145886,1874.7158301804545,1849.9124827728779,1861.0753591767889,1867.3935798617913,1906.5204026858266,1916.771922934121,1924.5747927277878,1881.0919363834632,1857.506615767619,1875.8335816593553,1875.4530218739433,1875.3366162097627,1874.8930027823458,1851.0543014168545,1870.8400589737544,1874.378102904973,1891.629952888222,1927.9821610381962,1922.6107751548986,1866.4150303064314,1874.6844775159027,1875.1256285655807,1876.904539147247,1875.4024095162322
NORTH,1873.5435987636079,1849.75854564284,1860.8363921337539,1850.6966093336002,1913.2869792139145,1920.913695792687,1929.8837993295651,1866.129367725386,1877.2402811899228,1875.9466110171168,1874.4514722625072,1873.7748191435537,1872.3862210820582,1850.781733685723,1870.20491024547,1852.1907971914773,1904.3283384225465,1921.2323743859185,1929.0422834627177,1875.002600132391,1862.7012435247377,1874.8276554731337,1873.7535373555932,1872.609249256919,1872.6124725358611,1851.3512809121826,1856.2657071497492,1855.4412610016827,1905.6942563031525,1924.9295976115825,1930.0156270170999,1865.641272240411,1861.4138379694537,1872.945493356783,1873.0275199063626,1874.3162075817888,1873.7372534791948,1853.774514548423,1857.4618720051978,1870.6329537573113,1903.6395747748713,1923.197564229172,1924.0056963985676,1868.4679995189372,1854.0224346444186,1867.5872657592065,1873.300809736965,1873.7577765416884,1874.0805835085566,1850.2502942843735,1853.8590403301475,1848.3129260629223,1906.7523296094423,1921.7565084183695,1927.426126074793,1867.370181819038,1872.923864400264,1872.642152758949,1872.0605998943083,1873.0909264395018,1873.2602022243655,1849.838216827514,1848.2796757570686,1861.4995104967393,1913.111924702027,1918.1264184469924,1926.8285854198489,1866.7421036549342,1871.1160150817418,1872.225886707583,1873.3453673920972,1872.660418894852,1872.1547618335605,1847.6963879370073,1861.242057766896,1869.09560377337,1915.139473234163,,1926.66840559664,1866.939436472056,1872.5013610722804,1873.9946686812646,1873.3591506918606,1873.5762113974827,1873.6936968018156,1852.2868870655016,1865.475921521458,1853.3498230545085,1903.3144086520344,1923.2660190099493,1931.81310551616,1875.078198065466,1857.766157557923,1872.0137540990352,1872.4948649646844,1872.5389742648497,1873.1004719187972,1851.653322094492,1857.1019388104253,1857.9278859661335,1905.5893473961557,1921.1013695673644,1921.8668216143665,1867.9084056536483,1856.5967543934914,1873.0350367256874,1873.6246200592411,1874.03327773613,1874.1114970817468,1851.910293706777,1860.4631099823466,1849.6472570072358,1904.2820618548683,1919.4266860229748,1923.504957983978,1851.5833351227393,1873.58957211978,1870.7928836657388,1874.787878111745,1873.7999065028323
SOUTH,1875.5152221228195,1849.605533796695,1874.6475345862355,1864.5513907565262,1884.4935425560427,1918.9851910916777,1928.3000612643389,1865.7903512304315,1882.344413575274,1879.8072822065003,1877.6639375964369,1876.0790428671864,1874.0316875355084,1852.231450851126,1878.7758664249063,1836.943137956244,1897.9969306124583,1923.2332309157764,1929.6637895508716,1871.9437669626388,1879.5389707077786,1878.3208271172518,1875.4766326318063,1874.230092601455,1873.3073553848571,1851.7444902762197,1861.7718745134027,1871.6830454471265,1909.2166332355343,1927.980318812838,1929.9554813623836,1874.4912241970756,1875.999210187715,1878.0498495974398,1873.406935784739,1876.4175763734356,1875.5925642617128,1850.5458060114786,1858.6897408021546,1877.3200161408918,1913.395303077662,1931.1209512646521,1931.8359657503445,1872.8447902030312,1853.6741244358288,1850.8391657225905,1872.7850640088457,1875.6152532937153,1875.549299700983,1850.3536240348672,1871.301407818166,1860.093129033533,1911.7265933689027,1922.3522910774627,1925.9455912934607,1868.1662806187023,1877.9976618638702,1875.1264053228044,1875.2971795770231,1873.5219553719467,1874.529800570578,1850.153136120625,1834.6289966475572,1869.5779432775805,1889.870213070234,1917.7807509387544,1929.19160767829,1867.1533701920287,1880.1097306022305,1872.6889323443856,1874.9446213549963,1873.5009658253214,1872.71956249756,1845.5855991106148,1878.6672568851445,1862.3958257675033,1912.3401906811941,,1935.8625135090751,1865.9128617363356,1849.4928379875557,1878.065297017907,1874.678292375712,1875.4995326915612,1874.1642427267986,1854.3189035878434,1872.190178094592,1853.023074581944,1908.8705354427752,1922.8931902056336,1932.5220982299063,1872.552610299957,1865.9691526302777,1874.7830506982787,1875.5770972815324,1872.7573713650436,1875.040578866716,1851.4410983700247,1870.3784761616375,1850.7366294862493,1904.9787647500257,1924.465355615935,1930.899416047284,1878.5582565947186,1857.7692852048467,1875.596163217361,1875.353844507371,1875.6777731910877,1875.0428144493083,1850.8107208011302,1874.1023925926688,1868.3865097910962,1889.6151072204661,1927.178204475252,1927.8438989290664,1853.7641368429145,1880.161008593635,1861.793986560629,1877.628845358386,1875.7339566369608
WEST,1877.0593989569907,1847.8715094962813,1873.726697150111,1853.9101520606905,1894.4379048143626,1933.1368715780484,1927.1404760064124,1866.1843394447055,1875.1549351720857,1880.3861079264548,1878.564594076589,1877.383817379057,1875.6787909351065,1851.664881085064,1876.8032518921016,1845.0617607008996,1903.1351743714436,1921.4912776685337,1929.9649797178079,1879.7218355975172,1876.7313571231105,1878.6035842470606,1876.5994837897229,1876.3450690952413,1874.5842185954568,1853.714908292406,1861.3674096374803,1870.0810663124842,1909.7139636327756,1925.775736435008,1931.9252736981086,1869.0124803364777,1873.1925180408546,1878.1916518384937,1874.850886697575,1877.6524845935635,1877.191568617277,1853.3444416457482,1854.8100900839179,1872.006055729018,1910.049753539426,1933.0383198752156,1932.0225024378642,1868.040344688218,1856.7990460613732,1850.2587657865465,1875.2100406527913,1876.8324132241155,1877.0459371500942,1850.5654687112342,1871.7570755950549,1850.9102943343476,1912.8293741969571,1924.587278462905,1926.4176624462816,1865.6360531565483,1874.5773368943658,1875.9103368567858,1876.3566670695732,1874.9943876318323,1875.7278930389473,1849.0251367461901,1846.5769947576484,1867.4455113037725,1898.4801327740674,1930.106049770221,1929.4044584633796,1866.577160901243,1875.9166903423004,1873.6670109926285,1875.6578164468112,1874.9280144587678,1873.9620531500175,1851.4824241386104,1874.4055552603622,1870.1435752002942,1919.754750797355,,1931.0430280501344,1866.5019198648508,1871.1279838530372,1878.424185644074,1875.965782195999,1876.396392332114,1875.744679082028,1851.6204617933479,1869.326746260182,1849.9252578079893,1909.1522543440822,1924.6402358487883,1934.08841414495,1880.2691975738833,1870.6486754756077,1875.4113255166628,1876.7701656664706,1874.4937900169687,1876.470921628255,1853.749983036626,1870.0520486362536,1849.6513824680235,1907.585731557015,1925.9254592084696,1929.25770147893,1872.8425843972864,1857.7257594868672,1876.1853598645403,1876.4357269516279,1876.9473233576723,1876.3290593497195,1851.4728025986863,1870.5636812984505,1865.0938741645032,1900.7389963620235,1926.9353777224549,1926.1493425986164,1852.2413574191269,1875.674494873513,1850.2896810559623,1878.7858745233734,1877.0196797944618
