district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_08,2023_09,2023_10,2023_11,2023_12,2018_08,2016_07,2016_09,2019_08,2019_09,2020_06,2021_08,2022_07
DADRA & NAGAR HAVELI,1850.8793741439156,1856.5776821515817,1874.626007569025,1868.1613936721335,1892.3546669542093,1891.9280562725696,1883.7013941728462,1917.8719523702284,1873.4020658799586,1849.394126724372,1876.7186710511999,1876.7231612943167,1850.4833613781423,1880.8452283114452,1874.675887904803,1863.559986825072,1901.1393647969564,1894.291436539076,1886.3347850849843,1913.3839603552483,1873.61403448537,1850.6952416232718,1882.5681913931192,1876.4679132340957,1849.6989720962988,1872.3862730517064,1874.8712429070413,1875.2764235158074,1920.1209348858201,1888.793414157082,1850.226739756694,1876.7222185376468,1876.7160887206082,1849.6408069448312,1875.4914953273212,1874.5473100122663,1875.2717599402458,1916.1643047378652,1886.1939123184966,1883.1264735180391,1925.9605536064687,1874.3541355813527,1856.8949953517056,1876.9575406531194,1879.6620277102306,1859.4313241095995,1856.8153128350289,1874.8489574476005,1861.2839028409855,1907.6499955405388,1880.047947316821,1874.816753464083,1849.4211843667047,1876.7149432044655,1872.8078935543654,1850.084600943524,1856.9746970213057,1875.5846373941702,1876.875839325955,1898.7354688148248,1891.897723506312,1882.1218422556062,1852.0936711523543,1884.3560233351566,1879.9154848643273,1849.7766580375003,1857.472517168455,1874.242733253116,1870.0276176255811,1894.1126605258996,1876.7747923214606,1900.098817057032,1866.88911905232,1850.1254956420973,1876.7244534479657,1874.4896662271753,1849.8313846638425,1867.5117818733722,1875.3368902843736,1873.0306810383267,1926.4470887961852,1890.8844804955622,1892.244465233685,1865.3288102165297,1850.551700840759,1876.7487507404464,1876.2914770651998,1850.209316393152,1872.9219439695546,1875.8375489390367,1875.6404733206373,1915.0086050790335,1887.5491895486618,1911.457669992819,1873.6617817417853,1850.2183631868022,1876.7251043524193,1877.0752847867382,1850.7966639295068,1876.4832669611917,1877.3418600985713,1875.2727330966854,1922.7740382531908,1888.4119926455342,1871.6949065545211,1873.9744069360338,1852.2981674963228,1876.7450736512565,1876.3529177664454,,,,,,,,
DAMAN,1850.853567614776,1856.7080967254424,1876.019187706454,1868.7656072317177,1885.9396249245797,1890.6976192851832,1893.0948744401894,1917.4105487127,1881.3193567671408,1849.5976547873079,1876.5153443460774,1876.9256425438427,1849.6109263310075,1879.5913075819394,1879.7475227578655,1862.1411457342492,1903.1509895906693,1886.2752381354453,1883.7743234986935,1867.3393137600804,1879.8000978768373,1850.5731180376586,1885.0139333861962,1876.8245558388926,1849.5366950229134,1879.7475227578655,1878.1174964783384,1877.9472243747798,1915.3840058609076,1888.1458817819291,1849.7892086837048,1876.551337866035,1876.7380989995181,1849.6619453532078,1878.774522753598,1877.869262243794,1877.6352312605504,1916.1863206555063,1890.346540926198,1886.6546919990117,1918.5588155336604,1880.4263638285906,1857.1859782723648,1877.646789116112,1881.378701090815,1849.574868589176,1856.8662933275798,1877.8452356126054,1877.3606145216818,1916.0999172462537,1880.1706670080746,1880.6054864880496,1850.2995190300703,1876.5644172899313,1874.8139676947458,1849.6920104011688,1856.9693886442183,1877.5625527650595,1872.1462884911155,1900.8999271318262,1894.0931517147903,1882.512851302441,1852.9093763788549,1877.869174749304,1881.7292086116531,1849.665412999003,1859.7820859792027,1880.298325647103,1869.1690825710002,1890.6400676632647,1881.9193967160827,1910.2765377006165,1866.1291339866884,1850.8534809855719,1876.5111712072976,1876.7836018466667,1849.7063961818667,1877.4983446461954,1878.178333393296,1865.870696617966,1928.076117653387,1892.3192080749168,1896.503825339056,1863.2737933930043,1850.3197858498443,1876.5289114488355,1877.7384266896474,1849.8677231191584,1879.461128268667,1877.8445432431802,1877.5208785695834,1910.8875086057747,1884.5043285336333,1876.4188025584756,1862.147240173188,1850.2214476055547,1876.5598596952757,1875.3517909899572,1850.429344421427,1877.988522008933,1861.6634708249503,1877.933092410635,1906.6759593758688,1888.1761062455168,1874.845883131752,1880.9951975494755,1856.8151086217674,1876.5735652592168,1877.8604791939727,1865.9509193369242,,,,,,,
DIU,1849.9549172863944,1870.206633291454,1874.4465447467558,1872.6328249312796,1911.4034067089292,1893.3072578414578,1894.255698124031,1914.8389999798474,1872.5096075721208,1857.3285924886275,1877.1048287005394,1877.972773730632,1850.3307822426102,1857.367693705966,1875.1494099911502,1874.5005250495224,1922.2290550016141,1892.6946543611223,1874.7846689399278,1866.3607002438816,1874.080734473767,1854.719173815131,1876.372971584376,1876.0980655930828,1850.7947991681374,1857.801578011075,1874.9772503935392,1874.3730100599407,1901.2751976740033,1870.590849593322,1853.9502354089893,1876.3858785250143,1875.915304421974,1849.8784676055075,1857.9102128052602,1874.5198635770323,1865.4167725287778,1897.740373746639,1880.9844787623117,,1864.273498856421,1865.340505117284,1853.2820488903258,1876.4227441192336,1872.1245888645358,1850.26988180401,1871.9143828121514,1874.1987047845435,1864.2257451947842,1891.4127290696,1898.2021366956455,1873.489957401947,1850.1337013930913,1876.6069733893023,1876.2187463518806,1850.5308709030094,1873.2679435677412,1874.0384989183028,1874.730597304784,1914.1447694707597,1896.6856794997057,1890.5283635024284,1851.9425205522823,1876.2635739417992,1878.8175279091597,1850.8064316738846,1874.5495410313956,1874.8102633820529,1874.7907649094457,1912.3547711853407,1888.585067341243,1864.376122119625,1870.5504655204954,1850.209169676455,1882.354921253938,1877.6883352564164,1850.5871500003416,1857.6250218880407,1874.4552990946215,1875.1546774940077,1923.162174427094,1891.7452084490183,1890.0569744816403,,1851.1111755987545,1876.8391588244403,1880.0354347509235,1850.2246570149682,1857.547715580191,1875.1433746946007,1874.0150647658995,1902.1188292294141,1876.7597258123417,,1875.4657914978984,1851.3459417727129,1876.510978146271,1877.406773722208,1849.9469155400998,1858.0340178321649,1875.1331977198972,1863.1657616423706,1893.8691429219102,,,1874.3731314362542,1850.8245465894854,1876.219172872367,1876.7954439639866,,1900.6695186767895,1873.2267426759458,1863.2857303125843,1874.1587165351973,1896.1279148898461,1866.1155535180203,1890.6920682771092
