district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2015_11,2021_01
KARAIKAL,1868.8624211814124,1879.8736919492417,1879.7147818813603,1864.0377339751874,1866.3063141107355,1834.639668667515,1848.69202444479,1863.3676632711388,1864.8729469269636,1834.7527657083162,1855.2348508691196,1850.2444556652304,1879.791421697673,1879.4675567063684,1878.7501284822924,1863.7604905225155,1861.0502316635327,1880.1443467619715,1834.655723577078,1865.6593525568676,1865.4783749717526,1849.130832916051,1850.8193512065277,1856.9968889376769,1880.1623285920746,1878.324532957248,1867.4002400807924,1866.8127953936416,1834.4968980291014,1880.0680192673012,1863.2225684652822,1864.385157993663,1880.0998277061228,1855.3372967453017,1846.6728479070368,1858.0786234208958,1836.1197764840256,1878.047185934577,1859.6628761759746,1867.4644233645959,1879.880147193156,1873.6327665626256,1863.760493798757,1861.3228122805724,1877.4933687505938,1850.9052474857592,1843.0448889426305,1857.4511817629625,1879.7678596910723,1876.6124239085154,1866.7013335336371,1868.6323224516566,1873.5072152571545,1880.1317235909185,1879.0775614157383,1860.0843045699623,1836.3932400808376,1850.139883899878,1842.8681089845268,1860.2813737637275,1849.9527158494952,1879.446182040235,1863.3861456002137,1868.5454279630626,1840.5046222701583,1836.321701511196,1867.9676659351285,1859.5899316981827,1871.6766363125473,1848.8736619021802,1846.313193346867,1881.8116042321813,1879.9400564371463,1879.9931520649654,1866.59538547366,1866.276386202185,1834.1295434729666,1842.5555533281522,1863.9264438817188,1874.3995335646775,1835.8020064891214,1841.7485248988733,1849.6696349253748,1834.7448869021287,1879.7695105705802,1863.804645392587,1863.9178801838038,1835.3103820222902,1835.5505572452878,1865.5811173467557,1863.4271848582057,1879.7620014038562,1856.6597478796596,1846.6647281151788,1857.0188781917993,1834.9918394359186,1880.4667369275196,1866.6843463162822,1862.879065044752,1835.2281759002249,1835.3727639844715,1866.522131216136,1863.2114405648422,1836.8737197991595,1856.2577161503957,1848.5160921382528,,
MAHE,1854.9535556092414,1879.7475227578666,1880.172903265911,1866.2550030818252,1876.6449151941881,1864.2407798201666,1834.5152619819623,,1866.7874292177155,1860.3775803605438,1851.5263983580226,1853.3387016445827,1854.751561710891,1879.3262151621864,1879.651425616534,1871.4187057786717,1875.7658521811466,1881.3541169627426,,1871.4920705250834,1875.5158034947913,1836.6915888981405,1850.1015548211597,1856.8673363499554,1880.2817648112375,1877.6469350202215,1865.2937405266268,1876.592857211608,1868.3128461512488,1870.148825423782,1865.4748399645637,1876.3169056027764,1879.7475227578666,1850.3750415592651,1850.1700547291102,1857.2898444937389,1880.6083494472189,1877.4086200084928,1902.775128268145,1890.1318074239605,1871.2476082713836,1834.7436038832254,1875.7344890082,1864.1354330590327,1879.8325988594754,1849.8013249119315,1849.683201651414,1858.18802317607,1879.7475227578666,1879.8194978263505,1865.2254711262694,1872.6718441476396,,,1866.212754778607,1863.1795950395172,1879.7475227578666,1850.5827818759697,1850.2057590358147,1873.3412437054942,1879.7475227578666,1879.790060808671,1864.008416079797,1875.5333355012217,1877.556836365373,,1876.9503340298945,1862.8775716951013,1879.7475227578666,1849.430779461449,1850.8878442905834,1852.0428574385703,1879.7475227578666,1879.7475227578666,1866.629768000466,1866.6975923088694,1876.1826096742227,1834.081994918618,1863.0732588749233,1869.8594908670202,1879.8325988594754,1851.3255145380042,1850.0675591170593,1880.6277207916346,1834.0069804856232,1872.31871595407,1873.8989979965872,1879.902564732726,,1876.9328338851767,1872.662996584645,1836.609759632196,1857.4852335639787,1849.9482890238237,1858.4134892604065,1879.7475227578666,1879.7769597755462,1894.3220692786554,1875.3634367580576,1865.479941673934,1880.1912484487277,1873.4422069866635,1873.002231198636,1879.9602130118888,1851.0167386288967,1850.3588006307036,1845.9560030633315,1853.6037506639123
PUDUCHERRY,1857.5214806535619,1870.45333764953,1871.3594116341144,1876.6699132635815,1881.662803801253,1876.034572948729,1876.3497852075097,1866.7129877236819,1864.5777004164954,1874.3650473674816,1854.2430119201833,1848.5735542046618,1877.1703037916436,1872.6182504100498,1872.0969375858556,1866.6479122294982,1865.5771194644326,1877.7367509534186,1874.0297530550881,1865.4353156303512,1876.3253886005766,1868.8715663467613,1846.0373084545422,1854.6961828642002,1870.5081350179662,1872.794797915932,1863.4961913985521,1866.8364881817863,1874.3481651189932,1873.2726963354933,1864.7665489432134,1877.1793382027606,1872.759460101591,1851.230328610939,1849.9983461623747,1857.7066194273982,1881.212152315352,1871.48190401075,1859.5837903816423,1865.7045344961527,1877.8634617453056,1872.9932373052904,1865.3069127888211,1865.2181519068238,1879.1664086472736,1852.2514088824041,1850.454902566372,1857.140846596937,1873.6629898811718,1872.707525179261,1866.7127419719632,1909.9241282285916,1874.9615701684436,1874.6862148329024,1879.1572252990482,1863.1342064257515,1874.3684939713246,1856.5417423074143,1850.0148950163546,1856.3400829824036,1874.7661117871057,1874.34736845401,1860.4253496183956,1907.2673802598656,1878.2626772918488,1872.082908770606,1866.5279453152593,1863.333232137082,1875.93835985426,1849.1241736490538,1849.5683615488351,1859.5054300613153,1871.750958928697,1871.2705590738647,1876.2074702525254,1871.270418601536,1868.9544255589,1874.4592747399226,1864.6298558205096,1865.3569601056256,1875.4654734676465,1850.2064086910984,1847.6130864701151,1877.2563239500244,1872.1880501459702,1860.8078056518968,1864.8349437585557,1874.3140029087697,1878.150383966133,1867.3629578284858,1876.2105900405656,1873.4656149534555,1854.0721151335404,1850.8334731519728,1854.2986235618318,1874.0492197025155,1874.6665843947026,1864.2668075123063,1862.1516691462482,1874.3489152310528,1873.8308743420343,1865.5471292322002,1866.7545936601116,1874.348185564401,1851.683132879334,1851.801682187227,,
YANAM,1850.2367527069323,1875.651992427405,1873.1766670748405,1862.498434094752,1891.0199139966303,1885.9983661033593,1866.6999279087875,1864.0429232403662,1874.1114590228108,1856.8226131716206,1848.823124667451,1852.6535002614971,1852.5993378944029,1870.6872140871196,1871.523588900957,1866.265235046038,1869.954370475125,1869.400529300087,1866.7428812141266,1865.705411827275,1872.9247532303493,1854.1061795140015,1850.4603378492359,1852.267262924171,1875.623192506865,1870.0988880934174,1861.0784223008295,1893.4807296819135,,1861.892802390417,1864.1879221310496,1877.552951823185,1852.238735704314,1850.5209269441532,1849.0958998474187,1854.2670375520943,1875.5000561229572,1874.2051299710254,1869.789171492329,1890.3169326558886,1866.3939188917102,1867.2233598339922,1863.7482761607043,1876.730164435642,1854.7137602387313,1851.891143224092,1850.5315061395563,1854.4024763380496,1869.0151993193642,1872.370479843341,1877.3571213663174,1889.8476266059486,1890.5452542659593,1865.9908732609908,1867.5147311964356,1869.8254953527085,1873.2559628060365,1850.2966233604789,1850.1839017943341,1850.0838765671022,1875.9246754507064,1871.4853842975665,1861.3842269877773,1888.8667067996073,1895.5569760826907,1867.061925690623,1860.6570102906028,1880.5783644074718,1869.4550819674248,1850.2473369126678,1855.0235991299562,1848.5895758344607,1877.072354632299,1871.4291280968334,1859.154262874626,1884.9177049339105,1881.37847604977,,1863.6898336215856,1873.3479726415696,1853.7397659057588,1850.3982003574395,1850.0718919594397,1872.2580430669389,1872.319649909753,1863.8523545970622,1891.2295281342817,1880.9145330010108,1865.406987753873,1863.3274587027202,1874.3393512679722,1856.1043989434295,1850.1323812651067,1850.134303176176,1852.9474838503338,1870.2615881942038,1871.6181597984225,1870.1606118140576,1892.6202013896045,1868.163953083812,1865.309578913444,1865.085586970473,1874.1984451071994,1853.9316707806345,1855.1868666176474,1850.2168446201592,1850.6659430849425,1852.9253326234912
