district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_08,2018_09,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_08,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_09,2023_10,2023_11,2023_12,2014_08,2017_07,2018_07,2018_10,2019_07,2019_09,2020_07,2021_08
DHALAI,1892.9989683368738,1875.3862608470797,1890.6743722520332,1889.7687088913997,1917.1138962433392,1900.1005541550678,1900.5529150800455,1881.5860475824845,1875.8503108833995,1891.2173831759656,1893.5126287058508,1891.3735537088844,1877.101332472785,1888.7288629146858,1887.6214953271224,1913.4482049723522,1902.1792402974966,1899.952997670541,1933.5905056415427,1890.7505921171614,1875.0509261797024,1888.7155562989071,1891.187217530691,1892.5978712274607,1878.3206869788605,1886.4772994030884,1889.797334852071,1914.8106365585356,1893.5013972263494,1900.5258482955091,1883.3621703504466,1877.336926853682,1875.412080994816,1893.2344202719148,1893.5711660388451,1877.1516635153528,1878.7246109362065,1886.1775158104235,1884.5104731276836,1909.7275818464323,1887.800200941504,1883.2632711908202,1881.6205930649148,1886.9916126221008,1888.6418961451784,1893.3812990393164,1874.809220164928,1879.6460367035338,1890.0065978497812,1886.5860558156846,1919.211047005697,1894.5596817725666,1883.2390309536736,1886.0711481761857,1892.7076726134621,1893.2306505275158,1876.8300222926998,1876.4314554500077,1885.567047140682,1873.8302249072035,1917.7763476983737,1897.6850386157307,1885.0843808748039,1874.398277483331,1888.6856697761423,1892.8417516588966,1889.31862849716,1877.4108806511606,1876.3832337072567,1878.6042876389586,1919.5537424211766,1888.1692802272876,1890.0297320688915,1890.3395396754797,1874.7503651306324,1892.7145202518652,1892.7303623952196,1893.4462272306018,1877.4529821045774,1884.6411384716173,1890.1271683817151,1912.1919077779412,1899.47802951512,1906.229980723934,1889.7766206442925,1874.85232790901,1888.201419190359,1892.490125138569,1892.4417637345475,1878.3261274732586,1890.0541014834553,1886.2704713467572,1927.6208345774162,1899.6791369841583,1908.940726007585,1884.282952422982,1882.2527781215776,1875.8762788824567,1888.2683654028062,1894.0505648010899,1878.8780234999133,1878.7464583746862,1890.286082629606,1874.1018799236301,1915.4039151738473,1897.2740120837923,1908.0503724249963,1890.3701353016681,1891.1441650039233,1889.203677600474,1891.728095881587,,,,,,,,
GOMATI,1883.2701784067576,1852.1000566679022,1874.336778647271,1872.4865342803537,1924.2573149971463,1892.936113579897,1897.1592868870566,1867.548056699175,1853.3712380322672,1875.9482241526746,1883.4792011683066,1880.330238864106,1853.5256788303757,1872.5984270238757,1871.1800900803737,1914.7074836313477,1894.0666865451872,1899.6032595083293,1923.2256414197511,1873.0171771798055,1853.5273983735133,1875.3027603076046,1879.2016086750502,1857.41267364229,1856.047263880873,1869.4975153706346,1875.6351806078917,1916.809864319625,1893.12610463505,1888.7812643262134,1864.1819955973158,1868.6979590023532,1849.8666257769717,1883.4213567365157,1882.2324353267902,1853.1801583374056,1856.618199366126,1874.594920285859,1865.295659990148,1900.7154851527764,1886.066138147303,1866.3368053941658,1872.2098754296956,1848.9687388216373,1874.9721082976168,1883.1776337552687,1852.3265411857851,1857.1140262155625,1874.6778320139686,1872.3929337241734,1933.175257091252,1893.808684722195,1865.994669837784,1870.5197893100396,1881.3850973028855,1873.2899554367382,1854.5487668567334,1854.5590583699923,1873.0596905749205,1871.3308797043367,1926.93357389312,1893.05736623205,1868.8227695489297,1851.9766563808107,1874.6100584729465,1880.2982714568923,1877.4942148485766,1854.7616533540058,1867.7428823625596,1867.2127112303547,1921.614203108768,1882.2426315104053,1871.6742227074985,1872.9803510495115,1849.7081274583943,1881.8641259117971,1881.2307186443531,1883.5112596551776,1852.2630057330932,1872.6640751050975,1873.4061667893786,1916.6913818838702,1893.499430892779,1900.850521152632,1871.8817367190477,1852.6688921665186,1874.3420957887063,1879.9579579964534,1853.1188900487068,1855.590946141758,1874.443501721423,1872.9242552496692,1919.9078039487956,1896.0252542805488,1907.4962859842997,1865.661568826348,1866.2475986620007,1855.3761650902543,1875.3081647564388,1883.9965548632172,1853.115530586467,1856.3734227080015,1872.621942694532,1867.6686457827302,1922.7054797462763,1889.3412924086335,1908.7087608583515,1873.1681578006844,1849.4398324536958,1874.6747807722381,1879.9311479611004,1907.6491034423473,1914.007609350759,1900.156170670081,1847.9987426466028,1907.7237102919162,1867.1147157033297,1891.2476565143174,1884.8284404162764
KHOWAI,1881.846952603672,1851.8374991891246,1872.8032041398258,1870.5042356247466,1929.351393883009,1893.3488729652986,1894.116436485957,1873.281024783491,1853.3884752487259,1874.2818056088854,1882.0621847221482,1877.7482186185437,1854.63829929397,1874.049691273274,1871.0457015948537,1918.172497782677,1894.4297650913097,1912.6786958768319,1920.1569167564287,1874.7514991927058,1853.6883428140281,1875.4461091797657,1879.14067114277,1876.4536547543485,1855.5152235228759,1868.9325091321161,1875.7834234992263,1917.5692217769324,1892.5230050707428,1890.5136332819595,1865.9541020022712,1870.9840332999547,1849.3528042732075,1881.22495042915,1880.9165411780284,1853.7905147509944,1856.4143617704178,1873.1222290309227,1866.6736414996903,1916.8862657340496,1891.3230786424617,1865.6018738207958,1873.8124639703592,1850.1237678659518,1875.1634849190775,1881.8396269212549,1852.7194213628577,1856.0943983187392,1872.914359828339,1872.7616628775768,1926.2251557287193,1892.1722422248422,1866.9676130182438,1870.2011020430941,1881.1996163218653,1872.9389653577232,1855.0743379741439,1854.5689454788912,1869.4595265293678,1874.6015501148613,1928.7954037332656,1891.6839583288233,1877.504751553875,1853.5876570743042,1875.459954646324,1879.9812882085055,1872.370545619673,1855.796177582252,1870.7541084815414,1869.8476951444263,1930.26210295245,1890.1579448425966,1865.1287788200968,1871.868784275401,1849.3240092139372,1879.7288289089797,1879.236966533004,1880.8802394223017,1852.4722818375883,1872.416570504326,1872.126423266015,1921.3690801983682,1895.437023407296,1914.4650202488735,1872.5779572090175,1853.428320210277,1874.2466499502866,1878.9218461956407,1873.4761448847664,1854.7617248521585,1872.6428372192736,1879.6944741679745,1916.011316194034,1905.5208293420608,1907.0972788033998,1865.586157075809,1869.7818422162172,1852.8428787572757,1875.4657333672114,1882.9229940461107,1853.5991478115036,1855.4641571142313,1873.3498403107176,1871.0135832648841,1921.5689475952468,1892.4462065030116,1910.2845425111007,1871.1412074550112,1860.4578445206375,1874.5565783178847,1877.5984069497213,1893.6699896039615,1923.8771657408072,1909.1981621172376,1847.8336114587603,1904.7654379566327,1869.087663037463,1894.510072469479,1876.4778985396583
NORTH TRIPURA,1879.1726989391132,1849.5568196657764,1876.845589887792,1878.9593035559637,1924.2669367152755,1894.1392650283265,1893.8545608002,1879.1241085016768,1850.2166832718513,1880.9460260679105,1880.3500718600792,1876.7274580244646,1855.3935520271611,1879.4969466825262,1847.1498537484097,1913.3389499945033,1895.8526049208872,1907.449959400375,1932.6720247649243,1879.6151638162887,1850.689732258968,1875.1444735679204,1876.1591826788374,1878.7902162986666,1852.113848509781,1862.8330918243726,1874.6028284382553,1921.6048577833692,1892.2140357985277,1883.8979267852017,1870.0727617571688,1863.3505664053869,1852.1840672429796,1881.1010750551136,1882.0911009367037,1879.1399249187778,1856.9534382542554,1877.2514814486908,1868.5271175247108,1916.234213721872,1898.152451509088,1864.5590824236394,1837.8205554195476,1882.1324750133651,1875.145583047389,1878.4698382937302,1850.422736549516,1856.9535465802242,1879.7788862071059,1873.0915920646598,1931.0145159606482,1882.959590755927,1865.5123049794922,1878.8868527952689,1882.1448016097593,1872.5583041890995,1850.6966352159711,1851.2628433172838,1857.137180026402,1834.4159925553524,1919.7369141465635,1892.5545673542842,1867.2365323620493,1850.1820893792694,1878.2184013503881,1878.6343170613743,1858.3167075814704,1853.3672702720623,1865.4033025237352,1873.651139805477,1927.1954722510825,1886.9414204226266,1881.7227737117835,1880.227826245359,1850.8880368713374,1881.7448988680824,1878.8546289426076,1879.3570672675648,1850.2572767264337,1869.0443203384575,1879.6319215246535,1916.8024406019986,1894.6306882898507,1912.7633363328007,1862.1561535744343,1850.4038395504547,1876.4654644932089,1878.0068913771684,1878.9890318778187,1852.0369970936454,1871.202928624557,1868.5551094294149,1925.8762257113442,1900.0823727249815,1907.8553009659634,1870.7168105402075,1868.5518289766458,1850.930157241597,1877.2179550844178,1881.950175477091,1876.696320858701,1857.2067334844257,1879.755151073951,1834.3121318083922,1918.246555871171,1893.3932108041404,1911.3209685740646,1878.1656581415614,1880.9259141455207,1880.9065351340646,1876.6643413293855,,,,,,,,
SEPAHIJALA,1875.7724977229889,1853.792558828074,1874.3261759234244,1871.5380123251518,1924.0721414208258,1894.4670426687776,1903.58429058608,1873.6750566186017,1873.5022614017644,1873.9064562817437,1878.8039247840784,1873.3646797883266,1847.9369204737748,1876.3146122360065,1871.5195892841316,1918.5678401706884,1886.9835595229622,1925.1579081063496,1886.3764564067062,1872.9266443478919,1872.68126795144,1874.737028580686,1870.8549050816703,1848.5758601346488,1847.033510818236,1869.670773350038,1869.860557716254,1925.9318177974344,1888.2636848319564,1887.5047475789886,1867.0867075634685,1865.9631236517905,1844.809152082946,1877.4921910392256,1875.0065696201937,1872.697735878021,1852.6899892806234,1874.3959358478132,1868.6687693519161,1924.0254048388038,1889.034493552082,1866.1403555135523,1870.8407815456528,1844.5238744702053,1874.3373968074093,1879.6613408110268,1867.6600029731205,1854.6565791418348,1875.3884410300614,1871.4761824455231,1934.0685900145324,1892.6731341596337,1869.1399222602197,1867.415688901108,1875.7797216214065,1872.4546159889392,1874.2626249997782,1855.1989733377418,1871.9146952084977,1870.4095841749258,1924.9342760152535,1885.1084974629023,1880.2258323955464,1875.6536475752637,1872.6438736647772,1875.5939745966705,1869.4620883507835,1855.3160513486707,1869.5928072900124,1867.3625964780379,1924.812395927663,1892.4079687592425,1872.1160305113929,1871.6387676390264,1844.2601848601153,1877.1756323923764,1872.3391433354884,1877.3820924017346,1847.769687801759,1869.866698899451,1872.103234383281,1922.294802283725,1885.0982285300108,1917.9652864761665,1867.3270373168268,1875.016763492417,1874.1217195948,1869.3529199995503,1845.9010944380732,1847.175933085928,1875.0087997990888,1872.707885364701,1925.5099322838335,1896.3944969609752,1902.9712367328839,1867.0239554254563,1867.5412912590841,1846.6410488064935,1874.1980554358593,1879.270186690873,1868.3517995443538,1851.9224450663703,1868.6079755920327,1868.2500175333012,1922.6312716190878,1889.433558701701,1920.7369192648016,1872.7232128201301,1844.3967338965726,1873.5615520698452,1869.593955841469,1897.9204331935694,1922.4134164427326,1900.937991520585,1848.1055705352735,1909.5839231549023,1873.6368098040446,1889.4553908585638,1875.6580216759426
SOUTH TRIPURA,1883.393369201927,1851.7328698040678,1874.0186741117336,1873.1427843683346,1922.7253568557162,1893.1687078240684,1893.5054316720395,1867.2960980073542,1853.1159860683656,1876.2944795239016,1882.7463807375798,1880.8413322921688,1855.4158074706347,1874.9695222117862,1872.9733528571317,1913.4748237092092,1894.3301797762595,1895.1903857171847,1927.782369860855,1871.9054597398303,1852.941121390061,1875.6957774773698,1880.281850875075,1850.6741198981233,1855.7497213875279,1869.2789445487142,1872.9706500885025,1918.3225410468383,1893.3083024321572,1888.460639939388,1864.6942899226851,1870.4299018774643,1849.8150823504643,1882.8574146898484,1882.314885714176,1852.6712916325657,1856.462472746327,1874.6729165192196,1865.64918086752,1900.9184593504117,1887.6936543009508,1866.3427155900326,1873.191822600159,1848.6627679842659,1874.9295355017412,1882.7894615146943,1851.573483688244,1862.0964193232187,1874.2587141364593,1872.4133606098403,1934.4917538292073,1891.7288031646679,1865.7185068212084,1871.5476119091602,1880.6324757725454,1872.59814695738,1853.8543578036463,1855.0736913836004,1873.4805855080194,1871.544429467735,1926.6901672843169,1892.6363444281794,1867.0082139877866,1851.137924451266,1875.0300286351662,1879.547858479813,1880.2825040871564,1853.7620202778724,1866.4630262308383,1867.121676898606,1919.1051734360283,1878.0278835570327,1875.880499484122,1872.416267062044,1849.8858821368485,1881.9461164236172,1882.9971151443663,1882.219293250488,1855.5637727237959,1873.4769196226014,1873.3072639178808,1914.4640170606106,1897.0928002043806,1894.57973381153,1872.3093418561612,1851.9656345178475,1874.735978852391,1879.801838860439,1850.3004408341726,1855.9270411302011,1874.3885727424256,1868.6750068617844,1919.6339439184728,1895.6587223653744,1900.9608883393234,1867.1709422651725,1869.6653640533334,1855.5666130265665,1874.5145393001585,1882.9138262742313,1852.619879500518,1856.3197822444426,1874.0111541038214,1868.668181407466,1925.6441212554512,1889.2582175571438,1908.5341648717279,1873.0547997086992,1849.6317603986565,1874.6550391867902,1879.7379352790529,1907.6678307530551,1918.7651722070204,1897.9197546646633,1846.6611821976087,1888.0557758819618,1869.4571940592532,1887.5331230982797,1881.994124901923
UNOKOTI,1882.7252412536886,1847.394063998041,1878.0534890038039,1876.873793041003,1933.518374732758,1893.043216092121,1896.3389802418476,1856.0114361192989,1850.0785704434197,1877.0891665481736,1883.3786538755326,1879.6428454733552,1856.0751205290542,1877.7940950385735,1844.0145399434239,1919.3298501195134,1896.1960631706945,,,1879.5858071684597,1850.3900368706406,1874.8666886136507,1879.042657426973,1882.4664873501283,1852.436589225042,1860.7556207406408,1880.357280315878,1925.2813691845554,,1886.4821141939824,1867.6549536331477,1875.2509967036247,1850.3570044101416,1882.3882512459013,1881.9642841773646,1869.9162474405582,1857.8505641213103,1877.1259099133235,1867.390043898776,1916.9217010630834,,1863.0260977675966,1850.8945312583953,1879.8273738525795,1874.4424283433545,1882.7533713517823,1850.585790545804,1857.732916909526,1877.7616039301586,1877.7997150505062,1935.7851664242987,1885.5674251990679,1865.3581101193997,1878.5502886380877,1883.2812461471901,1874.8015410698524,1850.7859950250686,1851.3259532620777,1858.2408995487897,1843.2860723684714,1920.4252372303724,,1869.543110523921,1850.2955048214817,1877.795048010404,1882.2021841751891,1850.4265456768164,1855.7101625195685,1877.8043052660857,1877.5883559067497,1930.2645906886698,,1870.3615117508207,1876.0881809865125,1850.4582263407985,1877.560433777745,1882.367009512794,1883.3387034411585,1852.0706709444432,1875.922388407508,1877.9374344196733,1917.8679487166453,1891.4045965870655,,1853.1716686718792,1850.1868641037067,1874.103656691352,1881.8976269517373,1882.7368524488265,1853.8424658424274,1870.9289028181286,1874.856537976732,,,1906.2116583586142,1865.097641628128,1873.1356214693847,1852.3805455447034,1876.0629375063854,1883.6950957371419,1865.400799003204,1858.1419540681857,1878.302124434283,1845.0566123450378,1917.5874532855476,1895.3085139919838,1911.4466658582116,1878.2653667923894,1882.6135685337933,1878.9572567013172,1877.859102265764,,,,,,,,
WEST TRIPURA,1877.9245126774636,1854.798380201937,1876.520240902943,1872.2254490672171,1923.4145081957745,1898.3091146459722,1903.8703345927927,1872.7268563031728,1872.5781979939964,1873.734628403207,1878.2467007364803,1873.5020299946982,1851.5631205752793,1877.294471124523,1870.6607911684239,1914.780577178852,1888.5594811294507,1929.622686331046,1882.90060394851,1871.9742195735448,1872.4690656816138,1874.1549588994812,1870.8734483895416,1854.4480929625756,1846.6278874562338,1869.727284664791,1868.1261280281635,1924.31725058903,1887.0984003142473,1891.2743234911356,1866.4517413006781,1866.4214291294454,1844.2714835531474,1875.8458994604664,1874.6324521753877,1872.8637588547626,1851.9169425461437,1876.2421668496297,1868.8585023969065,1921.391756428235,1890.6904453733466,1865.7407906323222,1870.0337105242825,1844.7737339988123,1874.3794325407332,1875.2443230876477,1867.1944579718238,1852.473728324963,1874.2413689733385,1869.5411072004838,1928.6040923901746,1892.9465481515465,1873.70576056889,1865.9788401287801,1876.7204179301752,1869.7601808723443,1874.3066667293415,1855.3690734573288,1871.3414853219142,1871.2797689361316,1923.4828554174198,1889.8603472549482,1879.8343170936296,1874.1335220053672,1872.3177773108348,1874.3339180438609,1870.3903627383465,1855.5021898556358,1869.6348101592785,1868.4280302028371,1925.9345291704358,1899.51509446352,1867.7091875434762,1870.775312141351,1844.2939009904453,1875.4160261802067,1870.566252182252,1877.7592918840828,1849.9419428293106,1868.177596547239,1872.3399403264648,1922.2087753660917,1888.0346330007317,1928.503150959837,1868.1754380012987,1872.9053997933604,1873.6485667057957,1868.9502961187736,1849.4649290253742,1846.6241044274734,1877.3854668642293,1870.8714607071358,1926.100531590066,1905.270628404816,1900.8063354619212,1865.5988294730475,1866.0521928362484,1845.5367054455076,1874.7819061521054,1878.0869610844636,1867.616206175035,1846.040683463237,1871.6847015714595,1871.020593121517,1923.8460811503778,1891.2317045764598,1912.0588558087522,1871.8420575009732,1844.2254126119028,1873.7742380820944,1871.2900915614362,1890.2406757584133,1921.7741770070486,1907.4450991278932,1847.9425486856967,1915.4203839327433,1873.813237545903,1891.5238425770544,1872.0661062600416
