district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_09,2023_10,2023_11,2023_12
AIZAWL,1867.6584945301886,1848.759840236157,1874.3546064094194,1871.89137357034,1923.0668591440099,1893.0132241382062,1913.0164445893943,1869.9940632026464,1871.6438494617494,1846.7223967065984,1873.391806165083,1870.793016445223,1868.4192884290856,1852.9647684857448,1872.5479848181794,1869.9968143772687,1922.2775938305945,1889.952038158757,1915.5939257007446,1878.356181981054,1874.3502336393742,1849.4362705778444,1872.696631364978,1869.2675170790983,1870.1271875582418,1855.9445557323818,1870.6334331141534,1871.2355852681044,1922.5259626033692,1882.3524185753902,1923.4008309513956,1876.910191399611,1870.026945052016,1874.8307216389353,1871.6061734206467,1870.729102556887,1870.9295720835032,1853.6923016220298,1874.4384568626608,1870.4169223339534,1904.2723008957046,1889.871289893938,1926.906143998078,1875.445164059227,1871.3616873861945,1867.7416049565163,1872.8120366688192,1870.3817581250696,1864.2502637430164,1845.8653218924285,1876.2684168965297,1873.6494685290866,1923.5787754669386,1896.1033559216824,1906.2022726370237,1867.0118789540486,1868.2543389786954,1847.879551369675,1870.7810218113398,1871.0632021280464,1850.9749108950334,1844.853470503415,1869.7424700024944,1870.7334029986682,1919.801235160889,1894.0795767783195,1907.6293497981706,1867.8132558150423,1872.6350745791874,1845.706414928053,1872.3691542973993,1870.0952076516573,1859.9530003867594,1851.8625043570662,1871.3103760412357,1869.2004405262576,1922.8983917742844,1889.1703560396597,1909.8173679629285,1868.7251991943117,1872.2014604772314,1850.8650185759077,1874.589701264091,1870.441225081251,1869.6872423173581,1852.1820907907806,1871.4931450112042,1875.0560108382576,1925.7526420828592,1890.5900508217,1904.3374251751427,1875.7024259340756,1870.616031654471,1854.7721792984592,1872.1337779075002,1870.2015796696314,1870.28040698869,1853.6924083838167,1874.8020604154851,1873.2978660139493,1904.800974600564,1894.6774949813218,1928.447750050255,1883.9201582942924,1870.766389345071,1847.5049946169604,1875.9418589743714,1873.863003282137,1869.8367505349415,1852.554004933836,1870.428934494168,1869.7849981734028,1923.7375706459054,1893.0789966023178,1922.0553050440083,1869.7235420400955,1874.5339318779575,1871.6867351187027,1868.6739554845042
CHAMPHAI,1851.6232201067944,1857.1205147488108,1874.5142203921957,1873.584295657517,1914.7613846367894,1897.4382019564423,1910.7302944880532,1866.7473408364754,1872.5929868027777,1857.9027645585666,1881.4402602504656,1878.0595057971013,1851.5032174651928,1861.318426444098,1873.4125226233934,1871.9532916786084,1918.0552376443052,1894.464301931487,1923.6649660536577,1863.8842337689025,1872.8726384228933,1848.6131353584317,1881.1248013225063,1877.4737035017606,1879.7859938263884,1852.6265332034347,1873.7924080437363,1871.274676293998,1920.4349746979449,1893.4026957884098,1926.0912117087246,1871.452669714384,1872.724037157591,1850.1066279186898,1880.8788483934775,1880.432360485769,1880.6576217288948,1853.3684746638212,1874.4994278861116,1871.9769984113475,1910.579025141646,1890.9780453783824,1924.0746328570644,1878.5875966511212,1873.4812718933092,1851.0099708816938,1881.3647554549457,1880.077089575111,1878.8051363176598,1855.441899198232,1873.898658292065,1874.5991492676467,1914.4592973036467,1893.727151339421,1900.885694381859,1865.2292259689639,1871.4913281732584,1850.211613486612,1880.4619815025726,1879.8234050988137,1850.959011331044,1855.5837859585583,1873.6411474145852,1867.6581384016868,1914.3133152763085,1892.2650915368476,1903.3724934971724,1904.529004922939,1867.9355260608888,1850.141977027487,1880.468621780615,1875.9119311850347,1851.4252541417595,1856.9168285932012,1874.5073316782364,1870.130636467741,1924.5594649981817,1887.5096113089785,1906.4324848272533,1865.0234477293136,1868.129841219402,1866.691101216163,1881.8274315245471,1879.1417338717763,1850.9288049831414,1863.968542954251,1868.3313178171288,1878.2097489506978,1918.1971083985686,1890.1901186212892,1909.0800249937233,1866.970697759064,1867.2896661565542,1850.78209976401,1874.3390498393007,1879.3401464563085,1878.5417549033202,1853.6010891592243,1874.4101225467828,1874.22751290823,1899.0887471879653,1891.3097704928691,1925.701005154841,1907.2809267522885,1874.0360927341956,1850.3827471553966,1883.6038344995334,1882.3193734812774,1879.7865332086237,1852.6663477223415,1870.1899332934472,1873.4487258928045,1917.2771664904155,1893.700176346,1897.1574283923308,1872.3643427573652,1850.4631392294896,1880.6157999265406,1877.5263679053019
KOLASIB,1876.2432063091353,1849.6324288857545,1875.4759935867141,1873.798678205234,1920.0110117190932,1893.7910537753028,1894.8806866466807,1874.4985873118271,1873.2206041020559,1848.73364594854,1880.1714312196607,1877.0785360919397,1874.4996233617078,1854.8031278174356,1874.414168974623,1870.9030726037495,1918.93676247491,1890.5580770629222,1926.698046176334,1881.684427759924,1874.6023432150105,1850.0199095362527,1879.5231192633107,1875.1578801016437,1876.7736687821778,1854.3959767728477,1871.0460507627417,1868.2973531743564,1918.4855108574382,1892.6872922756058,1896.8859841840588,1871.036143598066,1873.6408351981427,1874.8687744146025,1876.813818406974,1877.2834638779455,1878.550227885275,1851.237225933023,1875.3081891818667,1868.4183665541707,1897.5782557831317,1887.1987061796558,1919.256407716162,1866.8953326045416,1873.5805604153645,1878.7424987850584,1880.0776188261038,1876.4034741041855,1871.1032192315233,1852.3502084549095,1877.2606232861472,1875.1624642360143,1917.1514171559795,1899.2584842976808,1909.6727448412432,1865.8159817939252,1872.5531371844475,1848.7285839752944,1878.4390626869122,1872.7049747295348,1851.252630372611,1845.1256161562674,1871.9140584108513,1868.0878977159898,1909.7310382366072,1896.2529506989029,1904.830035096711,1866.898353601373,1873.4491501133011,1848.6128464482597,1880.0765527037236,1876.5273714214359,1850.9083618974573,1850.4849260416631,1875.1091102511562,1871.1306099168978,1915.7649949812119,1889.2873727918786,1916.036570091707,1897.801776752198,1873.6123900970802,1848.9461796832747,1880.4002993526508,1876.574729332548,1877.1534134942892,1850.6206653672386,1877.1658581552635,1878.9646692038998,1918.2896374640452,1891.749373482388,1913.0702916573464,1880.9788059270454,1876.512410675682,1853.9568511698903,1879.618762801581,1874.5853289180304,1876.4795394787996,1851.602979220369,1875.44375800125,1868.5284595944158,1909.9798944140275,1891.0719946290985,1913.0536590497688,1872.1456431701506,1872.9482193490364,1849.5093519871061,1878.7267590992085,1877.663632097298,1876.3991464203636,1851.6976988417975,1872.366212136047,1870.6081187935854,1923.4258830976978,1898.4612899256904,1916.8790707943258,1871.707810763275,1879.4273748783662,1880.132001719624,1874.172059792721
LAWNGTLAI,1857.6564585659842,1858.372551021741,1871.9110751339488,1873.2730478338144,1927.7580209766113,1892.6309298616459,1897.978603462522,1866.6508628884162,1871.9200583642612,1847.86574527543,1880.5443530475716,1873.1978123581202,1859.0941516462399,1865.8833212218644,1873.4335827856682,1870.6760454411506,1917.9560445648629,1895.944749806979,1889.0865323005123,1865.4032439459916,1874.950133172728,1849.6947025874429,1878.7515564620053,1875.3706238790378,1875.237673163514,1852.9576390417328,1873.6611732120698,1870.2718164765308,1920.2965109943466,1890.8540491293597,1918.83338875314,1866.5693288599816,1871.8742710781748,1849.391871243444,1877.3573904250559,1876.385948940586,1866.6350500250219,1851.5565351683858,1873.0277192825788,1869.3589107362518,1909.853290188598,1885.2181406467178,1891.6819989298626,1873.0607018634362,1871.738404635016,1856.4183725756016,1880.0345039583824,1875.3652388880403,1848.0166466803416,1850.9270062280732,1872.5660774377616,1876.6662465771994,1926.294959155394,1878.2743730415762,1888.7782560725964,1864.9789708638007,1873.083532984894,1849.489585208081,1876.4767587141787,1875.5393576162317,1850.726516861204,1853.5784344412793,1872.0659827296372,1870.2811361802667,1921.2051791435995,1890.8743432249482,1894.6567862105856,1906.0390583058768,1873.3345069345949,1847.3989157115723,1878.0980202713738,1873.7052539495928,1859.6302619186702,1862.2854451781234,1874.3909286579144,1873.3936150934449,1932.845782526115,1877.84235308089,1900.1665547064665,1866.278059639079,1873.2311742104382,1847.6105777268676,1880.22895694336,1874.8307167692146,1858.321836217454,1863.6479771836293,1876.1958817432774,1874.353892369822,1917.403381126658,1880.9389859411438,1888.1367727299216,1865.9812042367764,1869.806739613777,1849.6876733644954,1872.8329065611845,1875.4541720806917,1875.0032960907652,1851.342532384885,1874.1043572865356,1872.677374559833,1910.7439857785814,1878.2499037412742,1915.616119417769,1908.9247696178352,1872.882637430169,1851.0514022750338,1880.2423791767287,1876.8080235461118,1863.8005734944304,1852.0543568067528,1872.8664192625645,1872.8024664649445,1922.8965693929545,1889.5018101115736,1899.5236489090717,1871.8872355900241,1859.0170664855839,1877.928780140705,1873.6278901453543
LUNGLEI,1865.202113225541,1852.3262555495655,1874.2955113378364,1873.4362997708593,1926.1943245730574,1891.9379167896643,1899.2478917261335,1866.7349189043155,1873.0332734581834,1848.4761978953886,1878.0956860949568,1873.361528648577,1866.1916001165523,1860.7690902853633,1874.0759874895493,1872.5358935289119,1914.5063921761705,1895.1580813168823,1890.1030017011758,1878.9406497603377,1874.6364677486956,1848.8856784896398,1876.4250322520802,1873.7867670439564,1873.5026993008657,1853.9112576872753,1872.8063002625968,1870.6168251267964,1918.732070883765,1881.0048554796215,1925.1934966536119,1878.4584059085462,1871.1412964915432,1852.3750007595527,1875.1357955144663,1874.5468560072557,1874.3524028004517,1849.8753619821866,1874.42991838618,1870.2748775062744,1897.659204720827,1889.6145602725671,1889.9567186219826,1885.240572032084,1869.5353748086986,1865.3017132951538,1877.7759886619117,1873.7085298325294,1848.177464636429,1849.5165090916785,1874.2516616270836,1872.4952710591551,1925.756677558096,1889.5558068661924,1891.6488733159717,1865.890912461938,1871.6702690868924,1848.785634354956,1874.4163032079894,1873.4637389554375,1850.5248375894748,1853.4390979013642,1874.1120421119324,1870.3861036803162,1920.8101623753937,1891.385937907757,1900.607950692438,1881.3213633654705,1872.9286187432563,1846.8093790646792,1877.276612109601,1872.4263101587142,1866.1450350724494,1853.7933613285381,1872.6252467064005,1869.949312338943,1930.6692416269834,1882.9596350096037,1904.3288600890426,1874.5643723582573,1873.3557438049838,1847.6049734016146,1877.9873753910126,1873.8951584439226,1866.090705558378,1857.7728284608854,1877.7163165829354,1872.824083373756,1923.589187062635,1878.2178169206043,1890.9918447600294,1867.5331042593043,1869.8703531095052,1847.4998222884565,1873.887408540931,1873.577277013468,1874.1176678348834,1852.5056392576691,1874.8632844824235,1872.3592100020326,1908.853107907578,1887.8579816158024,1923.4153605989518,1895.46369057602,1870.571646907631,1849.9444380211235,1878.9905296459856,1877.4601045832926,1872.1696144956009,1849.3236122551023,1874.4813573694955,1872.669964938966,1919.283522927254,1889.779040054622,1909.2575221675809,1871.7296784367873,1869.109200044344,1876.1504070886333,1872.3159561085145
MAMIT,1878.3415656036032,1849.7380977177486,1875.8969384153866,1875.0865046628576,1915.0478591841756,1892.3547499854774,1888.2953297992792,1869.9413073282035,1875.16877881596,1850.0519739771614,1881.7468450232748,1878.5142699287212,1877.7805852374047,1854.579934491404,,1874.1637033664892,1907.2786485309286,1895.0063163684483,1902.2419014274121,1928.8482432480346,1875.0172191771458,1850.29273625144,1878.0810159766856,1876.0678424891603,1878.2887619428896,1852.577063453656,1871.665646822677,1866.583075095043,1915.5025190097854,1891.4098145992905,1890.844159764041,1873.634429850422,1870.4971189229968,1863.1455743322267,1879.010858941049,1879.7105027710322,1881.0480818073252,1855.522420201804,1876.1964075993235,1865.8031516169997,1898.1300143960163,1897.1257350657222,1928.2143596461076,1869.0935637768737,1866.8849172785042,1879.3221387152055,1880.1210251933408,1878.2375962212216,1849.6619275595583,1856.03209074859,1878.346998910601,1873.839812733495,1924.4802756113909,1889.771264390627,1899.7005041703428,1865.3621920341832,1874.1923300814312,1846.2097885342414,1879.3922439412665,1871.9766750187741,1850.6032689982512,1852.78271452023,1870.846656980185,1863.409915811522,1920.8944923132735,1894.0622122606824,1910.3277534762074,1866.687387876249,1874.354064104537,1849.9081917126016,1879.0704044079134,1877.091167764292,1868.279435431202,1850.1596190864775,1869.4810567902846,1871.7100459280969,1917.1833768598547,1892.3762246445476,1902.656235015182,1905.1035259679084,1875.0896788639748,1851.0080866344433,1880.3052001805731,1878.3225415011002,1878.6075280395755,1849.5166761744576,1874.3003744565606,1878.9483428056242,1920.307447513328,1892.999587587825,1900.8647518026778,1880.4384875926626,1876.2966842472356,1850.087874257132,1881.1239908755274,1876.848967022373,1878.2985508276656,1850.1441405603637,1875.9348223212098,1866.3767423055317,1915.3458924755012,1899.6636982285409,1907.9438169567595,1874.1554711055112,1871.8651799883269,1850.0442217909574,1879.9383727968989,1880.046096011555,1878.1973760922606,1854.930145968731,1876.7702899114345,1865.6583129772966,1921.4933007949917,1895.7726346355057,1916.0057765278057,1873.36952791644,1881.690820191251,1881.8850862625648,1875.544786306234
SAIHA,1851.129930962821,1859.13663105938,1875.7940436619144,1875.2824982830302,1923.0167808248234,1896.6192820938788,1894.8572271355044,1864.9313008025417,1873.490377090692,1850.7932032851993,1882.7266585067296,1878.0228330301422,1850.93140470942,1873.6708175736521,1875.474129688602,1872.6581818474344,1915.1817000792134,1895.9492163635057,,1866.0086469736548,1873.6979879283788,1854.135438787375,1883.6285829100104,1880.8853764176242,1880.7231735763776,1851.732814386718,1875.6911631442922,1872.7659617573697,1918.5683238563893,1894.8814548483974,1922.6561080966453,1864.8464064075035,1872.2196664777882,1851.8366909910485,1882.7093941448647,1881.1977736417216,1877.7936833563613,1857.754089839341,1875.5211692686032,1868.4015795193236,1912.0797575279698,1890.5315337656584,1889.9649886993082,1896.155537729808,1874.5347212987574,1849.687421771393,1883.468700021553,1881.3291299671755,1851.30752519756,1856.94556217372,1874.2779845696934,1878.481548366219,1921.6593262691329,1890.5830553619737,1888.1304419879268,1865.4824613917235,1874.3892951321413,1851.0370824687245,1881.5418653783502,1880.5179446548304,1850.6597136871221,1856.351286901403,1874.8828937993153,1864.788870239683,1916.5297920586106,1894.7764721432593,1892.7555113991775,1919.524783065765,1875.153172158419,1850.2124278391573,1878.9368858791365,1878.5816073941432,1850.7615894245027,1871.7806714536648,1875.8485151118068,1872.2656866247,1935.1418282943525,1886.7485290189136,1896.3687963322302,1864.9365991586492,1864.7381379124533,1850.2070907742925,1883.5984015187512,1880.7421651637799,1850.553181644753,1874.015404550935,1878.3139050398786,1874.346291130834,1914.2734474685278,1888.8381153732134,,1866.9854281710197,1864.59071411595,1853.0217454755762,1877.1638067685797,1880.986922166635,1880.784484797559,1852.92407273936,1876.1036921176385,1875.6966791511118,1897.1264332638495,1881.1125144414416,1904.327153352183,1931.3110021839777,1873.777086704915,1850.77522913662,1883.320128074328,1883.0325593545692,1875.2783885737667,1857.1037476350944,1873.7147170894314,1874.7157045405663,1921.1178538574177,1894.5273545313253,1895.5789556484574,1874.5861227141068,1850.0721996688426,1879.0067072987279,1879.369989651069
SERCHHIP,1859.739842723626,1853.645610032629,1873.7002504243192,1872.5643726337466,1919.5774952850388,1892.6607982988442,1905.5610542102813,1866.542544166768,1872.276960275402,1848.7645410500625,1875.205744212395,1872.2575039980934,1860.6463708128842,1863.276327568765,1872.6631627397278,1870.6300682119722,1916.3265297697455,1894.8131173714717,1898.045437198618,1865.755536149664,1873.5628755487012,1847.9025881986008,1874.7091513801547,1871.9093409491727,1872.7930946513047,1854.5914020696948,1872.3761886054258,1870.6873927456986,1920.6967679764937,1876.890087107239,1928.2929406449632,1875.8700224671795,1870.818772042295,1862.6850647408764,1874.1935029355766,1874.130285046419,1874.0274492910025,1853.2759856453993,1874.2032893590301,1870.016905834373,1902.2338108406364,1883.3830920250837,1927.9227652750583,1891.2274544138077,1870.2391504018917,1859.2890274442968,1874.7340483620999,1872.9448486032236,1859.8287035677256,1849.3325587557295,1874.937142032974,1871.9431819846263,1924.5863347272639,1895.0636932680382,1898.019438912322,1866.620119485275,1871.0712575262805,1849.156358947183,1873.7637445726589,1873.888299133266,1850.992861376116,1849.1979282553257,1873.0823990106674,1869.326389440067,1918.9725800487113,1889.5602901258985,1912.287154512988,1886.2915521406478,1871.8300523491764,1846.8602080956489,1873.8538905125695,1870.4670248738205,1860.711659283823,1853.1372666185805,1870.5267697457316,1869.402445331996,1930.2767304968186,1888.363782018439,1903.3733092987259,1864.6689911555636,1872.2249014624688,1848.1500962093048,1875.4784222278668,1872.9521795481542,1860.666994329713,1864.3525435530094,1875.3968305567785,1874.4940282117395,1928.0408484236827,1885.972301864397,1893.8186584416671,1867.3668506881002,1872.139205991139,1847.2971984983005,1871.423012471863,1872.824950217604,1872.426333408724,1853.5581730332672,1873.8460092700557,1874.4793950819246,1904.109011622512,1891.7437784759882,1929.41925162343,1895.6365889697527,1869.9236000697183,1848.2514955488882,1879.5901736637857,1875.5228277505346,1872.9486882793422,1851.5749182348834,1874.9027095407687,1872.5431695188972,1920.4210613644661,1890.7207188356579,1908.3511904595382,1871.986538559696,1863.5074979474684,1874.3081857412274,1871.0297621332684
