district,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_08,2022_09,2022_10,2022_11,2022_12,2023_01,2023_02,2023_03,2023_04,2023_05,2023_06,2023_07,2023_08,2023_09,2023_10,2023_11,2023_12
NORTH GOA,1851.5055940542452,1874.5020977781649,1874.4086353415769,1862.2746650025188,1890.8585939565278,1875.3840745460054,1871.5329591415007,1870.463361802269,1869.961154553288,1868.432445330272,1850.730596050772,1870.230979662939,1846.3202088281525,1873.6146234095347,1873.453578983003,1872.3602663082268,1885.317045872845,1865.2823366362456,1869.5834345502974,1871.1840641574543,1874.7587894901867,1851.1574799198754,1850.695494781788,1868.773620323496,1852.3579474392752,1876.1364169133506,1876.1847235629778,1874.7052485609258,1883.7826174371119,1869.2412581318274,1875.1364487269568,1867.1500521063417,1868.1590595026603,1847.5560390082064,1857.7623608677873,1868.5328602580046,1851.5287765132914,1875.5036369655973,1873.430416194035,1883.0879710309932,1881.8660935162677,1862.1258246090013,1870.2818193660619,1877.807489338136,1875.2328033981516,1845.9863256034853,1867.1873066565208,1867.8973472493226,1851.9636164510516,1878.1332309265167,1873.8900475447915,1870.3222748901499,1883.7373080874224,1883.491487655911,1923.884542015136,1880.0764952507634,1859.707246591626,1868.52940988965,1862.1990940965943,1852.0320991745373,1874.5947294761554,1873.7341097836536,1865.980784097876,1884.1976735353066,1886.658506630383,1866.7509310766295,1925.0815469011388,1856.6691261763995,1850.6954526679106,1855.9020892098868,1852.0215841641757,1872.3361613171223,1874.4732090019768,1865.179004798611,1872.6575256438864,1870.2800216572675,1924.4242181291738,1871.2459169701044,1854.8002464445187,1851.5785658743084,1868.0869914448444,1852.2651265467534,1877.0208819079862,1874.5979075744972,1872.450493423327,1880.0683156553207,1871.171155352526,1865.1069042416407,1869.065856437626,1870.1759885256095,1852.3543973581338,1848.4264848379655,1868.931853114315,1851.6957557806809,1875.508352518067,1872.6870623463608,1879.946520390136,1886.1806039992348,1868.6177846248563,1865.0244490527025,1870.1775595434417,1847.410025223969,1863.8129757874779,1866.3743452998986,1851.4985572078356,1879.354811684173,1875.3382978889438,1886.3742794025272,1882.456012981896,1868.357964335263,1865.414855454896,1876.2798386684913,1867.8983604592092,1874.7867258355257,1869.07214113588,1869.1613016589713
SOUTH GOA,1852.1595203946895,1873.166311092296,1873.2014055892614,1860.8064483046996,1881.5238861719283,1868.8951761782564,1863.2086692833327,1866.014539200143,1872.2184045451804,1872.9120712134563,1850.7562587176726,1858.3438896670068,1849.3191579949068,1873.5014580531854,1872.305369371005,1873.3924371081052,1884.7480537194635,1867.7204214013937,1866.4244038104057,1865.5264959118226,1873.4464712091403,1850.848685891126,1851.0632633929606,1856.948468561663,1853.2037727392876,1873.3280828194356,1876.1545504528378,1874.3113519145036,1890.7222816651147,1865.0083249208346,1866.942588767008,1866.560239266547,1871.5755948614612,1851.9120067681592,1850.818438226137,1856.7597973456695,1853.5847080336302,1878.2317498473212,1873.103213166282,1873.1163766338993,1884.0641255852418,1863.1702834811474,1866.2978516244143,1866.0420958044924,1863.8724777738807,1846.180858429011,1855.446568883034,1856.271266572679,1852.410712548884,1873.6355575047264,1872.9755967396422,1862.3236937389188,1875.1399131968274,1872.5175499442576,1926.8078170358433,1872.1226181407055,1870.6935625001636,1855.475007573283,1852.0596875475007,1853.1328088453974,1873.2842845195673,1872.2031828198078,1864.815471743024,1887.921447694674,1875.8643660801392,1865.124196543468,1926.5241548635645,1864.9078268893304,1850.6309511674476,1851.8868652001868,1853.8117249242487,1873.217621895106,1873.1716579576796,1861.506309967631,1869.5966551803451,1870.228835793634,1917.729957167829,1866.3326809740706,1865.307841139795,1851.2231706878977,1857.8579234473339,1852.937051207393,1876.6550444178952,1873.3057919392857,1872.6536699467254,1878.2159600152481,1864.7553128299191,1865.9243657388665,1862.670970806114,1873.5217800807316,1852.0739548762326,1849.141811378939,1857.1121903311391,1852.6700781691636,1874.6577740566004,1870.6862747265984,1876.6491816934063,1886.3798919472285,1875.420848865573,1865.4768733976405,1873.0245644290744,1866.6518036683983,1852.5567084749136,1856.0236324262532,1850.414337641638,1878.842371227001,1876.1723280394883,1870.5095997341464,1883.5693838257994,1863.6533820062698,1865.585541777436,1864.6147287788785,1865.3580698253159,1871.8736124198772,1856.446957859743,1857.0785985044015
